,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,21.60964,22.1276,22.60382,23.06733,23.52386,23.95222,24.34233,24.70155,25.04182,25.37238,25.69631,25.99214,26.2681,26.53989,26.81046,27.07927,27.34503,27.60601,27.86574
Middle East,93.78699,97.61915,101.52251,105.53011,109.62352,113.89203,118.1603,122.16299,126.3694,130.54699,135.1109,137.61894,142.57975,146.00671,148.9879,152.34103,155.84253,162.21659,165.85793,169.46952,173.09215,176.80343,180.37562,183.75095,187.25346,190.98173,195.2996,200.13219,204.5201,208.44134,212.33692
Bahrain,0.34757,0.36343,0.37796,0.39303,0.4083,0.42399,0.43962,0.45471,0.4696,0.48494,0.50065,0.51543,0.52971,0.54425,0.55868,0.57295,0.58639,0.59893,0.61118,0.62308,0.63462,0.64589,0.65697,0.66785,0.67855,0.68905,0.69934,0.70938,0.71917,0.72871,0.738
Iran,39.70873,41.45082,43.21824,44.98932,46.79208,48.61894,50.46435,52.34019,54.17826,55.92667,58.1001,60.49643,62.31008,63.09966,63.46037,64.21727,65.11578,66.04188,66.95374,67.80393,68.63155,69.53153,70.28374,70.81183,71.4395,72.28271,73.1844,74.09327,75.02536,75.96761,76.9233
Iraq,13.23284,13.7031,14.17332,14.65222,15.16055,15.69362,16.24734,16.54319,17.04056,17.57254,18.13996,17.47737,17.86828,18.41148,18.97609,19.56361,20.16797,20.78125,21.40271,22.0356,22.67908,23.33473,24.00405,24.68518,25.37625,26.07609,26.78418,27.50016,28.22144,28.94557,29.67161
Israel,3.73747,3.80134,3.85842,3.92689,3.99734,4.06847,4.13968,4.21038,4.28204,4.35535,4.47781,4.64934,4.82246,4.99777,5.17486,5.3529,5.51452,5.66009,5.80873,5.96029,6.11457,6.25134,6.36954,6.49192,6.61773,6.74292,6.86688,6.99006,7.11236,7.2337,7.35399
Jordan,2.16278,2.25377,2.34764,2.44068,2.53438,2.63036,2.7275,2.8239,2.92078,3.0235,3.26656,3.63483,3.87091,3.98707,4.08473,4.17643,4.28166,4.38525,4.48522,4.58483,4.68762,4.79335,4.90206,5.01378,5.12826,5.2454,5.61722,5.99719,6.13263,6.26929,6.40709
Kuwait,1.36977,1.43219,1.49749,1.56582,1.63731,1.73282,1.81154,1.89154,1.9732,2.05683,2.14206,0.95422,1.41829,1.48398,1.55165,1.62105,1.69316,1.76564,1.83621,1.90567,1.97408,2.04256,2.11225,2.18395,2.25843,2.33662,2.41946,2.50672,2.59806,2.69253,2.78913
Lebanon,2.8987,2.9517,3.0056,3.06024,3.11544,3.17096,3.22558,3.27798,3.32778,3.37448,3.44018,3.50613,3.54803,3.58539,3.62071,3.6539,3.68504,3.71429,3.74182,3.76753,3.7915,3.81411,3.83546,3.85548,3.87449,3.89239,3.8511,3.89556,4.03802,4.09932,4.12525
Oman,1.18548,1.24951,1.3136,1.37675,1.43812,1.49723,1.55439,1.61167,1.67076,1.73179,1.79438,1.86607,1.93949,2.01457,2.07679,2.13857,2.19966,2.25973,2.31861,2.37618,2.43238,2.4873,2.54108,2.59379,2.64561,2.69689,2.7482,2.80028,2.85388,2.90963,2.96772
